대학코드	모집정원	학과코드	계열	학과명	수시 경쟁률	정시 경쟁률
0000068	43	0204354	인문사회계열	스페인어중남미학과	4.22 : 1	3.17 : 1
0000069	347	U003339	인문사회계열	경영대학	12.66 : 1	4 : 1
0000069	58	0010431	인문사회계열	국어국문학과	11.48 : 1	2.68 : 1
0000069	42	0014027	인문사회계열	철학과	13.36 : 1	2.69 : 1
0000069	27	0016538	인문사회계열	한국사학과	12.2 : 1	2.58 : 1
0000069	48	0015847	인문사회계열	사학과	12.81 : 1	3.3 : 1
0000069	80	0011999	인문사회계열	사회학과	14.2 : 1	3.1 : 1
0000069	27	0012841	인문사회계열	한문학과	13.33 : 1	4.83 : 1
0000069	108	0016982	인문사회계열	영어영문학과	11.97 : 1	3.02 : 1
0000069	37	0018647	인문사회계열	독어독문학과	13.09 : 1	4.5 : 1
0000069	41	0017752	인문사회계열	불어불문학과	13.13 : 1	3.83 : 1
0000070	34	0218826	자연과학계열	응용수리과학부	5.37 : 1	4.12 : 1
0000070	38	0233583	공학계열	인공지능사이버보안학과	16.26 : 1	3.69 : 1
0000070	54	0219002	자연과학계열	디스플레이·반도체물리학부	7 : 1	4.89 : 1
0000070	44	0022121	자연과학계열	신소재화학과	6.64 : 1	5.2 : 1
0000070	70	0218714	공학계열	컴퓨터융합소프트웨어학과	12.97 : 1	8.06 : 1
0000070	124	0005078	공학계열	전자및정보공학과	7.67 : 1	6.82 : 1
0000070	49	0212061	공학계열	생명정보공학과	11.19 : 1	5.83 : 1
0000070	55	0003869	공학계열	식품생명공학과	11.83 : 1	6.76 : 1
0000070	73	0218971	공학계열	전자·기계융합공학과	8.03 : 1	4.28 : 1
0000070	52	0005926	공학계열	환경시스템공학과	7.21 : 1	7.7 : 1
0000071	42	0012842	인문사회계열	신학과	1.04 : 1	0.19 : 1
0000071	29	0015844	인문사회계열	기독교교육과	1.11 : 1	0.29 : 1
0000071	23	0209273	인문사회계열	국제문화선교학과	0.32 : 1	0.33 : 1
0000071	32	0215939	예체능계열	태권도선교학과	2.17 : 1	0 : 1
0000071	59	0229401	인문사회계열	의료경영학부	4.57 : 1	7 : 1
0000071	56	0215935	인문사회계열	사회복지학과	4.47 : 1	1.71 : 1
0000071	45	0215934	인문사회계열	아동복지학과	3.13 : 1	0.55 : 1
0000071	33	U013546	인문사회계열	디지털영상마케팅학과	0 : 1	0 : 1
0000071	22	0228946	인문사회계열	유아교육과	7.32 : 1	4 : 1
0000071	27	U013547	인문사회계열	영어과	0 : 1	0 : 1
0000251	383	U000716	인문사회계열	초등교육과	5.37 : 1	2.47 : 1
0000008	34	0010401	인문사회계열	국어교육과	9.14 : 1	6 : 1
0000008	24	0011297	인문사회계열	한문교육과	6.45 : 1	2 : 1
0000008	39	0014550	인문사회계열	영어교육과	9.28 : 1	6.5 : 1
0000008	18	0014394	인문사회계열	윤리교육과	10.6 : 1	6.5 : 1
0000008	15	0017978	인문사회계열	교육학과	33.67 : 1	5.5 : 1
0000008	19	0019632	인문사회계열	상업정보교육과	5.56 : 1	5.5 : 1
0000008	25	0014934	인문사회계열	문헌정보교육과	9.71 : 1	5.67 : 1
0000008	50	0016231	인문사회계열	특수교육과	8.61 : 1	3.29 : 1
0000008	20	0015240	인문사회계열	역사교육과	14.41 : 1	5 : 1
0000008	19	0016374	인문사회계열	일반사회교육과	9.44 : 1	8.5 : 1
0000073	46	0010940	인문사회계열	신학과	0.77 : 1	0.26 : 1
0000073	36	0227360	인문사회계열	복지상담융합학부	0.81 : 1	0.68 : 1
0000073	4	0226006	인문사회계열	한국어교육학과	1 : 1	0 : 1
0000073	11	0020185	인문사회계열	유아교육과	1 : 1	0 : 1
0000073	29	0227359	예체능계열	음악학부	1.22 : 1	1.15 : 1
0000074	141	0005366	공학계열	전자공학과	10.84 : 1	5.59 : 1
0000074	82	0001117	공학계열	전자통신공학과	7.63 : 1	6.74 : 1
