I_ID_UNIVLIST	대학코드	대학교명	대학교별명칭	지역코드	지역명	입학정원	취업률	평균 등록금(천원)	schlship	기숙사 수용률	수시 경쟁률	정시 경쟁률	설치 학과 개수	전형 개수
3608	0000010	금오공과대학교	금오공과대학교 [본교]		경북	1,214	60.8	3769117.7	2799753.1	47.1	6.05	3.14	21	19
3680	0000241	김천대학교	김천대학교 [본교]		경북	634	72.3	7042129	3516269.5	49.5	3.85	0.73	18	11
3752	0000081	나사렛대학교	나사렛대학교 [본교]		충남	1,211	62.9	7149194.9	4175863.8	19.4	4.27	2.21	26	25
3824	0000216	남부대학교	남부대학교 [본교]		광주	617	72.4	6511720	3816532.4	29.2	4.49	1.29	17	8
3896	0000245	남서울대학교	남서울대학교 [본교]		충남	2,187	67.1	7858845.6	3724217.1	13.9	8.68	4.63	38	26
3968	0000082	단국대학교	단국대학교 [본교]		경기	2,275	62.9	8019362.6	3127752.2	19.4	17.67	6.2	47	27
4040	0002726	단국대학교	단국대학교 [제2캠퍼스]		충남	2,355	65.2	8189901	3217842	19.8	8.82	5.86	53	22
4112	0000088	대구가톨릭대학교	대구가톨릭대학교 [본교]		경북	2,494	57.4	7227513.7	3795555.2	25.3	5.24	2.14	72	26
4184	0000253	대구교육대학교	대구교육대학교 [본교]		대구	383	76.3	3604000	2149255.1	28.4	5.17	2.03	1	13
4256	0000084	대구대학교	대구대학교 [본교]		경북	3,822	51.7	6843753.3	3792078.2	24.7	5.05	2.08	80	26
4328	0000087	대구예술대학교	대구예술대학교 [본교]		경북	330	51.8	8278149.5	3853401.6	30.2	1.49	0.26	5	6
4400	0000061	대구한의대학교	대구한의대학교 [본교]		경북	1,508	65.3	7261202.3	3746656.4	18.9	5.24	1.65	39	28
4472	0000093	대신대학교	대신대학교 [본교]		경북	116	61.2	6360344.8	4978888.3	26	1.49	1.06	4	9
4544	0000094	대전가톨릭대학교	대전가톨릭대학교 [본교]		세종	40	0	5760000	5129203	798.5	0.15	0.41	1	8
4616	0000095	대전대학교	대전대학교 [본교]		대전	1,857	65.7	7285934.7	3525271.8	25	7.76	2.76	42	24
4688	0000238	대전신학대학교	대전신학대학교 [본교]		대전	32	0	5918260.9	6490894	35.1	0.18	0	1	4
4760	0000097	대진대학교	대진대학교 [본교]		경기	1,703	66.2	7171065.3	3902426.1	22.1	5.87	4.64	40	23
4832	0000099	덕성여자대학교	덕성여자대학교 [본교]		서울	1,120	58.9	7072813.4	3012328.3	13.1	18.55	7.18	5	23
4904	0000100	동국대학교	동국대학교 [본교]		서울	2,778	69	7939150.6	3304552.4	11.5	24.66	5.96	61	33
4976	0000101	동국대학교(WISE)	동국대학교(WISE) [분교]		경북	1,754	60.1	7863796.9	3749701.2	23.9	4.96	4.61	37	29
5048	0000102	동덕여자대학교	동덕여자대학교 [본교]		서울	1,577	66.6	7374035.6	3226655.9	10.4	12.85	8.96	42	20
5120	0000235	동명대학교	동명대학교 [본교]		부산	1,663	67.7	6967580.7	4086611.3	14.2	5.05	1.04	45	18
5192	0000103	동서대학교	동서대학교 [본교]		부산	2,094	62.5	6832824.5	3727860	20.1	6.78	1.94	56	19
5264	0000104	동신대학교	동신대학교 [본교]		전남	1,508	66.9	6658129.8	4019620.4	23.3	4.2	0.88	39	13
5336	0000105	동아대학교	동아대학교 [본교]		부산	4,058	54.7	6762049.7	3419812.5	12.6	5.83	4.64	60	39
5408	0000106	동양대학교	동양대학교 [본교]		경북	990	65.6	7120656.8	3135534.6	56.1	3.33	1.46	27	18
5480	0000107	동의대학교	동의대학교 [본교]		부산	3,617	59.1	6607210.1	3707711.1	20.2	5.54	2.28	69	20
5552	0000108	루터대학교	루터대학교 [본교]		경기	85	70.1	6300000	3909613.9	26.9	2.43	1.03	5	11
5624	0000109	명지대학교	명지대학교 [본교]		경기	1,397	64	9117673.4	3647036.2	30.4	11.04	6.42	24	30
5696	0000111	명지대학교	명지대학교 [제2캠퍼스]		서울	1,263	59.8	6950357.9	3229072.9	11.3	10.72	6	19	30
5768	0000112	목원대학교	목원대학교 [본교]		대전	1,815	60.2	7216827.6	4009181.3	20.6	4.26	1.39	51	19
5840	0000221	목포가톨릭대학교	목포가톨릭대학교 [본교]		전남	120	89.4	6496825	4559175.2	27.1	4.84	2.65	3	12
5912	0000011	목포대학교	목포대학교 [본교]		전남	1,485	61.5	3896124.5	3110841.8	25.8	4.32	2.23	71	22
5984	0000012	목포해양대학교	목포해양대학교 [본교]		전남	659	82	3409435.6	2241982.9	93.9	4.26	2.03	12	22
6056	0000113	배재대학교	배재대학교 [본교]		대전	1,845	65.2	7165306.7	3721225.4	20.8	4.3	1.51	58	19
6128	0000178	백석대학교	백석대학교 [본교]		충남	2,890	67	7835305.4	3766805.2	13.9	7.32	4.64	27	29
6200	0000013	부경대학교	부경대학교 [본교]		부산	3,270	53	4039300.6	2679507.6	23.8	8.99	5.21	61	34
6272	0000114	부산가톨릭대학교	부산가톨릭대학교 [본교]		부산	735	74	6800423.6	4102130.1	12.2	6.92	2.74	15	14
6344	0000254	부산교육대학교	부산교육대학교 [본교]		부산	356	66.4	3024000	2056860.1	46.4	6.02	2.32	1	11
6416	0000014	부산대학교	부산대학교 [본교]		부산	4,356	58.6	4462529.8	2860249.2	21.5	14.7	5.25	123	29
6488	0000115	부산외국어대학교	부산외국어대학교 [본교]		부산	1,470	57.4	6206616.5	3078806.2	21.7	3.82	1.31	30	20
6560	0000222	부산장신대학교	부산장신대학교 [본교]		경남	32	45.5	5760260.5	5355104.2	52.3	0.97	0.93	2	6
6632	0000116	삼육대학교	삼육대학교 [본교]		서울	1,137	64.5	7748262.7	3953894.6	27	8.78	9.87	24	28
6704	0000117	상명대학교	상명대학교 [본교]		서울	1,379	62.1	7696921.1	3403334.7	8.5	13.81	5.32	33	17
6776	0002959	상명대학교	상명대학교 [제2캠퍼스]		충남	1,367	64.1	8099482.8	3660405.7	19.1	10.33	4.62	27	14
6848	0000119	상지대학교	상지대학교 [본교]		강원	1,758	64.2	7089187	3165128.1	12.9	2.77	2	34	32
6920	0000120	서강대학교	서강대학교 [본교]		서울	1,632	73.7	7944545.7	2677445.6	12.8	28.84	5.25	29	20
6992	0000121	서경대학교	서경대학교 [본교]		서울	1,309	69	7928490.1	3368305.8	10.7	21.54	10.1	36	25
7064	0000036	서울과학기술대학교	서울과학기술대학교 [본교]		서울	2,148	66.2	5445457.1	3185386	22.6	13.5	4.82	47	20
7136	0000255	서울교육대학교	서울교육대학교 [본교]		서울	355	48.1	3088000	1797022.1	29.4	4.58	2.1	1	11
7208	0000098	서울기독대학교	서울기독대학교 [본교]		서울	136	50	7244470.6	3530379.4	16.2	0.94	1.03	8	19
7280	0000019	서울대학교	서울대학교 [본교]		서울	3,278	70.9	6011819.2	3287549.6	25.3	6.23	4.12	87	13
7352	0000040	서울시립대학교	서울시립대학교 [본교]		서울	1,727	70	2393269	1770081.3	11.6	17.38	4.38	47	17
7424	0000125	서울신학대학교	서울신학대학교 [본교]		경기	457	60.9	6864812	4584556.5	13.6	5.54	4.62	8	21
7496	0000126	서울여자대학교	서울여자대학교 [본교]		서울	1,670	59.6	7524060.5	3562074.2	12.1	15.66	6.95	34	20
7568	0000127	서울장신대학교	서울장신대학교 [본교]		경기	104	51	7540000	4730429.4	46.8	1.25	0.29	4	15
7640	0000205	서울한영대학교	서울한영대학교 [본교]		서울	180	58.7	6929700	3985245.2	14.5	4.01	2.21	6	13
7712	0000128	서원대학교	서원대학교 [본교]		충북	1,622	56.9	6912238	3736701.2	14.2	6.29	3.48	35	34
7784	0000129	선문대학교	선문대학교 [본교]		충남	2,053	69	7575985	3972893	39.5	4.8	1.77	46	20
7856	0000131	성결대학교	성결대학교 [본교]		경기	1,228	62.1	7208829	3460671.2	11	7.92	5.64	30	29
7928	0000132	성공회대학교	성공회대학교 [본교]		서울	502	56.4	7047624.7	3952998.9	20.8	4.66	5.23	4	17
8000	0000133	성균관대학교	성균관대학교 [본교]		서울	3,335	78.6	8392228.1	3215305.1	21.2	25.36	4.74	51	26
8072	0000136	성신여자대학교	성신여자대학교 [본교]		서울	2,195	56.5	7817160	3722274.7	10.8	12.25	6.45	52	19
8144	0000137	세명대학교	세명대학교 [본교]		충북	1,603	65.5	6859292.7	3789303	44.7	4.07	1.38	40	18
8216	0000138	세종대학교	세종대학교 [본교]		서울	2,360	63.6	7885632.6	3199312.3	11	17.12	6.71	45	30
8288	0000092	세한대학교	세한대학교 [본교]		전남	817	68.7	6679680.9	3100279.1	35.2	3.31	1.39	20	12
8360	0000243	송원대학교	송원대학교 [본교]		광주	685	71.4	6478663.4	3896655.1	12.9	4.01	0.75	18	18
8432	0000139	수원가톨릭대학교	수원가톨릭대학교 [본교]		경기	90	0	5097000	8637605.6	136.8	0.23	0.5	1	12
